,home,away,date,season,venue,type,toss,winner,man_of_match,points
73,Kings XI Punjab,Rajasthan Royals,"26th April, 2009",2009 - 15th Match,"Newlands, Cape Town","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kings XI Punjab won by 27 runs,Kumar Sangakkara,
74,Chennai Super Kings,Deccan Chargers,"27th April, 2009",2009 - 16th Match,"Kingsmead, Durban","20 Overs, Day Match",Deccan Chargers won the toss and elected to field,Deccan Chargers won by 6 wickets,Herschelle Gibbs,
75,Kolkata Knight Riders,Mumbai Indians,"27th April, 2009",2009 - 17th Match,"St George's Park, Port Elizabeth","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 92 runs,Sachin Tendulkar,
76,Delhi Daredevils,Rajasthan Royals,"28th April, 2009",2009 - 18th Match,"SuperSport Park, Centurion","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Rajasthan Royals won by 5 wickets,Yusuf Pathan,
77,Royal Challengers Bangalore,Kolkata Knight Riders,"29th April, 2009",2009 - 19th Match,"Kingsmead, Durban","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to bat,Royal Challengers Bangalore won by 5 wickets,Mark Boucher,
78,Kings XI Punjab,Mumbai Indians,"29th April, 2009",2009 - 20th Match,"Kingsmead, Durban","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kings XI Punjab won by 3 runs,Kumar Sangakkara,
79,Deccan Chargers,Delhi Daredevils,"30th April, 2009",2009 - 21st Match,"SuperSport Park, Centurion","20 Overs, Day Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 6 wickets,Dirk Nannes,
80,Chennai Super Kings,Rajasthan Royals,"30th April, 2009",2009 - 22nd Match,"Buffalo Park, East London","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Chennai Super Kings won by 38 runs,Suresh Raina,"Chennai Super Kings 2, Rajasthan Royals 0"
81,Kolkata Knight Riders,Mumbai Indians,"1st May, 2009",2009 - 23rd Match,"Buffalo Park, East London","20 Overs, Day Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 9 runs,Jean-Paul Duminy,
82,Royal Challengers Bangalore,Kings XI Punjab,"1st May, 2009",2009 - 24th Match,"Kingsmead, Durban","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 8 runs,Yuvraj Singh,
83,Deccan Chargers,Rajasthan Royals,"2nd May, 2009",2009 - 25th Match,"St George's Park, Port Elizabeth","20 Overs, Day Match",Deccan Chargers won the toss and elected to bat,Rajasthan Royals won by 3 wickets,Yusuf Pathan,
84,Chennai Super Kings,Delhi Daredevils,"2nd May, 2009",2009 - 26th Match,"Wanderers Stadium, Johannesburg","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Chennai Super Kings won by 18 runs,Shadab Jakati,
85,Kings XI Punjab,Kolkata Knight Riders,"3rd May, 2009",2009 - 27th Match,"St George's Park, Port Elizabeth","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to bat,Kings XI Punjab won by 6 wickets,Mahela Jayawardene,
