,home,away,date,season,venue,type,toss,winner,man_of_match,points
745,Royal Challengers Bangalore,Kings XI Punjab,"24th April, 2019",2019 - 42nd Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Royal Challengers Bangalore won by 17 runs,AB de Villiers,
746,Kolkata Knight Riders,Rajasthan Royals,"25th April, 2019",2019 - 43rd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 3 wickets,Varun Aaron,
747,Chennai Super Kings,Mumbai Indians,"26th April, 2019",2019 - 44th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Mumbai Indians won by 46 runs,Rohit Sharma,
748,Rajasthan Royals,Sunrisers Hyderabad,"27th April, 2019",2019 - 45th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 7 wickets,Jaydev Unadkat,
749,Delhi Capitals,Royal Challengers Bangalore,"28th April, 2019",2019 - 46th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to bat,Delhi Capitals won by 16 runs,Shikhar Dhawan,
750,Kolkata Knight Riders,Mumbai Indians,"28th April, 2019",2019 - 47th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Kolkata Knight Riders won by 34 runs,Andre Russell,
751,Sunrisers Hyderabad,Kings XI Punjab,"29th April, 2019",2019 - 48th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day Match",Kings XI Punjab won the toss and elected to field,Sunrisers Hyderabad won by 45 runs,David Warner,
752,Royal Challengers Bangalore,Rajasthan Royals,"30th April, 2019",2019 - 49th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,No result,No Award,"Royal Challengers Bangalore 1, Rajasthan Royals 1"
753,Chennai Super Kings,Delhi Capitals,"1st May, 2019",2019 - 50th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Chennai Super Kings won by 80 runs,M S Dhoni,
754,Mumbai Indians,Sunrisers Hyderabad,"2nd May, 2019",2019 - 51st Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won in super over after scores were tied,Jasprit Bumrah,"Mumbai Indians 2, Sunrisers Hyderabad 0"
755,Kings XI Punjab,Kolkata Knight Riders,"3rd May, 2019",2019 - 52nd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets,Shubman Gill,
756,Delhi Capitals,Rajasthan Royals,"4th May, 2019",2019 - 53rd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Delhi Capitals won by 5 wickets,Amit Mishra,
757,Royal Challengers Bangalore,Sunrisers Hyderabad,"4th May, 2019",2019 - 54th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 4 wickets,Shimron Hetmeyer,
758,Kings XI Punjab,Chennai Super Kings,"5th May, 2019",2019 - 55th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,KL Rahul,
759,Mumbai Indians,Kolkata Knight Riders,"5th May, 2019",2019 - 56th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 9 wickets,Hardik Pandya,
760,Chennai Super Kings,Mumbai Indians,"7th May, 2019",2019 - 1st Qualifying Final,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Mumbai Indians won by 6 wickets,Suryakumar Yadav,
761,Delhi Capitals,Sunrisers Hyderabad,"8th May, 2019",2019 - Elimination Final,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 2 wickets,Rishabh Pant,
762,Chennai Super Kings,Delhi Capitals,"10th May, 2019",2019 - 2nd Qualifying Final,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 6 wickets,Faf du Plessis,
763,Chennai Super Kings,Mumbai Indians,"12th May, 2019",2019 - Final,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 1 run,Jasprit Bumrah,
764,Chennai Super Kings,Mumbai Indians,"19th September, 2020",2020 - 1st Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 5 wickets,Ambati Rayudu,
765,Delhi Capitals,Kings XI Punjab,"20th September, 2020",2020 - 2nd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Delhi Capitals won in super over after scores were tied,Marcus Stoinis,
766,Royal Challengers Bangalore,Sunrisers Hyderabad,"21st September, 2020",2020 - 3rd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Royal Challengers Bangalore won by 10 runs,Yuzvendra Chahal,
767,Chennai Super Kings,Rajasthan Royals,"22nd September, 2020",2020 - 4th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Rajasthan Royals won by 16 runs,Sanju Samson,
768,Kolkata Knight Riders,Mumbai Indians,"23rd September, 2020",2020 - 5th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Mumbai Indians won by 49 runs,Rohit Sharma,
769,Kings XI Punjab,Royal Challengers Bangalore,"24th September, 2020",2020 - 6th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Kings XI Punjab won by 97 runs,KL Rahul,
770,Chennai Super Kings,Delhi Capitals,"25th September, 2020",2020 - 7th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Delhi Capitals won by 44 runs,Prithvi Shaw,
771,Kolkata Knight Riders,Sunrisers Hyderabad,"26th September, 2020",2020 - 8th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Kolkata Knight Riders won by 7 wickets,Shubman Gill,
772,Kings XI Punjab,Rajasthan Royals,"27th September, 2020",2020 - 9th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 4 wickets,Sanju Samson,
773,Mumbai Indians,Royal Challengers Bangalore,"28th September, 2020",2020 - 10th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Royal Challengers Bangalore won in super over after scores were tied,AB de Villiers,
774,Delhi Capitals,Sunrisers Hyderabad,"29th September, 2020",2020 - 11th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Sunrisers Hyderabad won by 15 runs,Rashid Khan,
775,Kolkata Knight Riders,Rajasthan Royals,"30th September, 2020",2020 - 12th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Kolkata Knight Riders won by 37 runs,Shivam Mavi,
776,Kings XI Punjab,Mumbai Indians,"1st October, 2020",2020 - 13th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Mumbai Indians won by 48 runs,Kieron Pollard,
777,Chennai Super Kings,Sunrisers Hyderabad,"2nd October, 2020",2020 - 14th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,
778,Royal Challengers Bangalore,Rajasthan Royals,"3rd October, 2020",2020 - 15th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 8 wickets,Yuzvendra Chahal,
779,Delhi Capitals,Kolkata Knight Riders,"3rd October, 2020",2020 - 16th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Delhi Capitals won by 18 runs,Shreyas Iyer,
780,Mumbai Indians,Sunrisers Hyderabad,"4th October, 2020",2020 - 17th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 34 runs,Trent Boult,
781,Chennai Super Kings,Kings XI Punjab,"4th October, 2020",2020 - 18th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Chennai Super Kings won by 10 wickets,Shane Watson,
782,Delhi Capitals,Royal Challengers Bangalore,"5th October, 2020",2020 - 19th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Delhi Capitals won by 59 runs,Axar Patel,
783,Mumbai Indians,Rajasthan Royals,"6th October, 2020",2020 - 20th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 57 runs,Suryakumar Yadav,
784,Chennai Super Kings,Kolkata Knight Riders,"7th October, 2020",2020 - 21st Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 10 runs,Rahul Tripathi,
785,Kings XI Punjab,Sunrisers Hyderabad,"8th October, 2020",2020 - 22nd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Sunrisers Hyderabad won by 69 runs,Jonny Bairstow,
786,Delhi Capitals,Rajasthan Royals,"9th October, 2020",2020 - 23rd Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day Match",Rajasthan Royals won the toss and elected to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,
787,Kolkata Knight Riders,Kings XI Punjab,"10th October, 2020",2020 - 24th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,
788,Chennai Super Kings,Royal Challengers Bangalore,"10th October, 2020",2020 - 25th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 37 runs,Virat Kohli,
789,Rajasthan Royals,Sunrisers Hyderabad,"11th October, 2020",2020 - 26th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Sunrisers Hyderabad won the toss and elected to bat,Rajasthan Royals won by 5 wickets,Rahul Tewatia,
790,Delhi Capitals,Mumbai Indians,"11th October, 2020",2020 - 27th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to bat,Mumbai Indians won by 5 wickets,Quinton de Kock,
791,Kolkata Knight Riders,Royal Challengers Bangalore,"12th October, 2020",2020 - 28th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 82 runs,AB de Villiers,
792,Chennai Super Kings,Sunrisers Hyderabad,"13th October, 2020",2020 - 29th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 20 runs,Ravindra Jadeja,
793,Delhi Capitals,Rajasthan Royals,"14th October, 2020",2020 - 30th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Delhi Capitals won the toss and elected to bat,Delhi Capitals won by 13 runs,Anrich Nortje,
794,Kings XI Punjab,Royal Challengers Bangalore,"15th October, 2020",2020 - 31st Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Kings XI Punjab won by 8 wickets,KL Rahul,
795,Kolkata Knight Riders,Mumbai Indians,"16th October, 2020",2020 - 32nd Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Mumbai Indians won by 8 wickets,Quinton de Kock,
796,Royal Challengers Bangalore,Rajasthan Royals,"17th October, 2020",2020 - 33rd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Rajasthan Royals won the toss and elected to bat,Royal Challengers Bangalore won by 7 wickets,AB de Villiers,
797,Chennai Super Kings,Delhi Capitals,"17th October, 2020",2020 - 34th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Delhi Capitals won by 5 wickets,Shikhar Dhawan,
798,Kolkata Knight Riders,Sunrisers Hyderabad,"18th October, 2020",2020 - 35th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Sunrisers Hyderabad won the toss and elected to field,Kolkata Knight Riders won in super over after scores were tied,Lockie Ferguson,"Kolkata Knight Riders 2, Sunrisers Hyderabad 0"
799,Kings XI Punjab,Mumbai Indians,"18th October, 2020",2020 - 36th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Kings XI Punjab won in super over after scores were tied,KL Rahul,"Kings XI Punjab 2, Mumbai Indians 0"
800,Chennai Super Kings,Rajasthan Royals,"19th October, 2020",2020 - 37th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Rajasthan Royals won by 7 wickets,Jos Buttler,
801,Delhi Capitals,Kings XI Punjab,"20th October, 2020",2020 - 38th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to bat,Kings XI Punjab won by 5 wickets,Shikhar Dhawan,
802,Kolkata Knight Riders,Royal Challengers Bangalore,"21st October, 2020",2020 - 39th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Royal Challengers Bangalore won by 8 wickets,Mohammed Siraj,
803,Rajasthan Royals,Sunrisers Hyderabad,"22nd October, 2020",2020 - 40th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 8 wickets,Manish Pandey,
804,Chennai Super Kings,Mumbai Indians,"23rd October, 2020",2020 - 41st Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 10 wickets,Trent Boult,
805,Delhi Capitals,Kolkata Knight Riders,"24th October, 2020",2020 - 42nd Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Delhi Capitals won the toss and elected to field,Kolkata Knight Riders won by 59 runs,Varun Chakravarthy,
806,Kings XI Punjab,Sunrisers Hyderabad,"24th October, 2020",2020 - 43rd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Kings XI Punjab won by 12 runs,Chris Jordan,
807,Chennai Super Kings,Royal Challengers Bangalore,"25th October, 2020",2020 - 44th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Royal Challengers Bangalore won the toss and elected to bat,Chennai Super Kings won by 8 wickets,Ruturaj Gaikwad,
808,Mumbai Indians,Rajasthan Royals,"25th October, 2020",2020 - 45th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Rajasthan Royals won by 8 wickets,Ben Stokes,
809,Kolkata Knight Riders,Kings XI Punjab,"26th October, 2020",2020 - 46th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 8 wickets,Chris Gayle,
810,Delhi Capitals,Sunrisers Hyderabad,"27th October, 2020",2020 - 47th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Sunrisers Hyderabad won by 88 runs,Wriddhiman Saha,
811,Mumbai Indians,Royal Challengers Bangalore,"28th October, 2020",2020 - 48th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 5 wickets,Suryakumar Yadav,
812,Chennai Super Kings,Kolkata Knight Riders,"29th October, 2020",2020 - 49th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 6 wickets,Ruturaj Gaikwad,
813,Kings XI Punjab,Rajasthan Royals,"30th October, 2020",2020 - 50th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 7 wickets,Ben Stokes,
814,Delhi Capitals,Mumbai Indians,"31st October, 2020",2020 - 51st Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 9 wickets,Ishan Kishan,
815,Royal Challengers Bangalore,Sunrisers Hyderabad,"31st October, 2020",2020 - 52nd Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 5 wickets,Sandeep Sharma,
816,Chennai Super Kings,Kings XI Punjab,"1st November, 2020",2020 - 53rd Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 9 wickets,Ruturaj Gaikwad,
817,Kolkata Knight Riders,Rajasthan Royals,"1st November, 2020",2020 - 54th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Kolkata Knight Riders won by 60 runs,Pat Cummins,
818,Delhi Capitals,Royal Challengers Bangalore,"2nd November, 2020",2020 - 55th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 6 wickets,Anrich Nortje,
819,Mumbai Indians,Sunrisers Hyderabad,"3rd November, 2020",2020 - 56th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 10 wickets,Shahbaz Nadeem,
820,Delhi Capitals,Mumbai Indians,"5th November, 2020",2020 - 1st Qualifying Final,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Mumbai Indians won by 57 runs,Jasprit Bumrah,
821,Royal Challengers Bangalore,Sunrisers Hyderabad,"6th November, 2020",2020 - Elimination Final,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 6 wickets,Kane Williamson,
822,Delhi Capitals,Sunrisers Hyderabad,"8th November, 2020",2020 - 2nd Qualifying Final,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to bat,Delhi Capitals won by 17 runs,Marcus Stoinis,
823,Delhi Capitals,Mumbai Indians,"10th November, 2020",2020 - Final,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Delhi Capitals won the toss and elected to bat,Mumbai Indians won by 5 wickets,Trent Boult,
824,Mumbai Indians,Royal Challengers Bangalore,"9th April, 2021",2021 - 1st Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 2 wickets,Harshal Patel,
825,Chennai Super Kings,Delhi Capitals,"10th April, 2021",2021 - 2nd Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 7 wickets,Shikhar Dhawan,
826,Kolkata Knight Riders,Sunrisers Hyderabad,"11th April, 2021",2021 - 3rd Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Kolkata Knight Riders won by 10 runs,Nitish Rana,
827,Punjab Kings,Rajasthan Royals,"12th April, 2021",2021 - 4th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Punjab Kings won by 4 runs,Sanju Samson,
828,Kolkata Knight Riders,Mumbai Indians,"13th April, 2021",2021 - 5th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Mumbai Indians won by 10 runs,Rahul Chahar,
829,Royal Challengers Bangalore,Sunrisers Hyderabad,"14th April, 2021",2021 - 6th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Royal Challengers Bangalore won by 6 runs,Glenn Maxwell,
830,Delhi Capitals,Rajasthan Royals,"15th April, 2021",2021 - 7th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 3 wickets,Jaydev Unadkat,
831,Chennai Super Kings,Punjab Kings,"16th April, 2021",2021 - 8th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 6 wickets,Deepak Chahar,
832,Mumbai Indians,Sunrisers Hyderabad,"17th April, 2021",2021 - 9th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 13 runs,Kieron Pollard,
833,Kolkata Knight Riders,Royal Challengers Bangalore,"18th April, 2021",2021 - 10th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 38 runs,AB de Villiers,
834,Delhi Capitals,Punjab Kings,"18th April, 2021",2021 - 11th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 6 wickets,Shikhar Dhawan,
835,Chennai Super Kings,Rajasthan Royals,"19th April, 2021",2021 - 12th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Chennai Super Kings won by 45 runs,Moeen Ali,
836,Delhi Capitals,Mumbai Indians,"20th April, 2021",2021 - 13th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Delhi Capitals won by 6 wickets,Amit Mishra,
837,Punjab Kings,Sunrisers Hyderabad,"21st April, 2021",2021 - 14th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Punjab Kings won the toss and elected to bat,Sunrisers Hyderabad won by 9 wickets,Jonny Bairstow,
838,Chennai Super Kings,Kolkata Knight Riders,"21st April, 2021",2021 - 15th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Chennai Super Kings won by 18 runs,Faf du Plessis,
839,Rajasthan Royals,Royal Challengers Bangalore,"22nd April, 2021",2021 - 16th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 10 wickets,Devdutt  Padikkal,
840,Mumbai Indians,Punjab Kings,"23rd April, 2021",2021 - 17th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Punjab Kings won the toss and elected to field,Punjab Kings won by 9 wickets,KL Rahul,
841,Kolkata Knight Riders,Rajasthan Royals,"24th April, 2021",2021 - 18th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 6 wickets,Chris Morris,
842,Chennai Super Kings,Royal Challengers Bangalore,"25th April, 2021",2021 - 19th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 69 runs,Ravindra Jadeja,
843,Delhi Capitals,Sunrisers Hyderabad,"25th April, 2021",2021 - 20th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to bat,Delhi Capitals won in super over after scores were tied,Prithvi Shaw,"Delhi Capitals 2, Sunrisers Hyderabad 0"
844,Kolkata Knight Riders,Punjab Kings,"26th April, 2021",2021 - 21st Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 5 wickets,Eoin Morgan,
845,Delhi Capitals,Royal Challengers Bangalore,"27th April, 2021",2021 - 22nd Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Royal Challengers Bangalore won by 1 run,AB de Villiers,
846,Chennai Super Kings,Sunrisers Hyderabad,"28th April, 2021",2021 - 23rd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Chennai Super Kings won by 7 wickets,Ruturaj Gaikwad,
847,Mumbai Indians,Rajasthan Royals,"29th April, 2021",2021 - 24th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 7 wickets,Quinton de Kock,
848,Delhi Capitals,Kolkata Knight Riders,"29th April, 2021",2021 - 25th Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 7 wickets,Prithvi Shaw,
849,Punjab Kings,Royal Challengers Bangalore,"30th April, 2021",2021 - 26th Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Punjab Kings won by 34 runs,Harpreet  Brar,
850,Chennai Super Kings,Mumbai Indians,"1st May, 2021",2021 - 27th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 4 wickets,Kieron Pollard,
851,Rajasthan Royals,Sunrisers Hyderabad,"2nd May, 2021",2021 - 28th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Rajasthan Royals won by 55 runs,Jos Buttler,
852,Delhi Capitals,Punjab Kings,"2nd May, 2021",2021 - 29th Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 7 wickets,Mayank Agarwal,
853,Chennai Super Kings,Mumbai Indians,"19th September, 2021",2021 - 30th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 20 runs,Ruturaj Gaikwad,
854,Kolkata Knight Riders,Royal Challengers Bangalore,"20th September, 2021",2021 - 31st Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Kolkata Knight Riders won by 9 wickets,Varun Chakravarthy,
