,home,away,date,season,venue,type,toss,winner,man_of_match,points
595,Mumbai Indians,Rajasthan Royals,"29th April, 2021",2021 - 24th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 7 wickets,Quinton de Kock,
596,Delhi Capitals,Kolkata Knight Riders,"29th April, 2021",2021 - 25th Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 7 wickets,Prithvi Shaw,
597,Punjab Kings,Royal Challengers Bangalore,"30th April, 2021",2021 - 26th Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Punjab Kings won by 34 runs,Harpreet  Brar,
598,Chennai Super Kings,Mumbai Indians,"1st May, 2021",2021 - 27th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 4 wickets,Kieron Pollard,
599,Rajasthan Royals,Sunrisers Hyderabad,"2nd May, 2021",2021 - 28th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Rajasthan Royals won by 55 runs,Jos Buttler,
600,Delhi Capitals,Punjab Kings,"2nd May, 2021",2021 - 29th Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 7 wickets,Mayank Agarwal,
601,Chennai Super Kings,Mumbai Indians,"19th September, 2021",2021 - 30th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 20 runs,Ruturaj Gaikwad,
602,Kolkata Knight Riders,Royal Challengers Bangalore,"20th September, 2021",2021 - 31st Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Kolkata Knight Riders won by 9 wickets,Varun Chakravarthy,
603,Punjab Kings,Rajasthan Royals,"21st September, 2021",2021 - 32nd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Punjab Kings won the toss and elected to field,Rajasthan Royals won by 2 runs,Kartik Tyagi,
604,Delhi Capitals,Sunrisers Hyderabad,"22nd September, 2021",2021 - 33rd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Delhi Capitals won by 8 wickets,Anrich Nortje,
