,home,away,date,season,venue,type,toss,winner,man_of_match,points
728,Mumbai Indians,Delhi Daredevils,"4th May, 2008",2008 - 23rd Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Mumbai Indians won by 29 runs,Shaun Pollock,
729,Rajasthan Royals,Chennai Super Kings,"4th May, 2008",2008 - 24th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Rajasthan Royals won by 8 wickets,Sohail Tanvir,
730,Royal Challengers Bangalore,Kings XI Punjab,"5th May, 2008",2008 - 25th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,Sreesanth,
731,Chennai Super Kings,Deccan Chargers,"6th May, 2008",2008 - 26th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Deccan Chargers won by 7 wickets,Adam Gilchrist,
732,Mumbai Indians,Rajasthan Royals,"7th May, 2008",2008 - 27th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 7 wickets,Ashish Nehra,
733,Delhi Daredevils,Chennai Super Kings,"8th May, 2008",2008 - 28th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 4 wickets,M S Dhoni,
734,Kolkata Knight Riders,Royal Challengers Bangalore,"8th May, 2008",2008 - 29th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 5 runs,Sourav Ganguly,
735,Rajasthan Royals,Deccan Chargers,"9th May, 2008",2008 - 30th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 8 wickets,Yusuf Pathan,
736,Chennai Super Kings,Kings XI Punjab,"10th May, 2008",2008 - 31st Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Chennai Super Kings won by 18 runs,Lakshmipathy Balaji,
737,Deccan Chargers,Kolkata Knight Riders,"11th May, 2008",2008 - 32nd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 23 runs,Sourav Ganguly,
738,Rajasthan Royals,Delhi Daredevils,"11th May, 2008",2008 - 33rd Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 3 wickets,Shane Watson,
739,Kings XI Punjab,Royal Challengers Bangalore,"12th May, 2008",2008 - 34th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Kings XI Punjab won by 9 wickets,Shaun Marsh,
740,Kolkata Knight Riders,Delhi Daredevils,"13th May, 2008",2008 - 35th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 23 runs,Shoaib Akhtar,
741,Mumbai Indians,Chennai Super Kings,"14th May, 2008",2008 - 36th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 9 wickets,Sanath Jayasuriya,
742,Delhi Daredevils,Deccan Chargers,"15th May, 2008",2008 - 37th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Delhi Daredevils won by 12 runs,Amit Mishra,
743,Mumbai Indians,Kolkata Knight Riders,"16th May, 2008",2008 - 38th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 8 wickets,Shaun Pollock,
744,Rajasthan Royals,Royal Challengers Bangalore,"17th May, 2008",2008 - 39th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Rajasthan Royals won by 65 runs,Graeme Smith,
745,Delhi Daredevils,Kings XI Punjab,"17th May, 2008",2008 - 40th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Kings XI Punjab won by 6 runs [D/L Method],Mahela Jayawardene,"Kings XI Punjab 2, Delhi Daredevils 0"
746,Kolkata Knight Riders,Chennai Super Kings,"18th May, 2008",2008 - 41st Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Chennai Super Kings won by 3 runs [D/L Method],Makhaya Ntini,"Chennai Super Kings 2, Kolkata Knight Riders 0"
747,Deccan Chargers,Mumbai Indians,"18th May, 2008",2008 - 42nd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Mumbai Indians won by 25 runs,Dwayne Bravo,
748,Royal Challengers Bangalore,Delhi Daredevils,"19th May, 2008",2008 - 43rd Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 5 wickets,Shreevats Goswami,
749,Kolkata Knight Riders,Rajasthan Royals,"20th May, 2008",2008 - 44th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 6 wickets,Yusuf Pathan,
750,Kings XI Punjab,Mumbai Indians,"21st May, 2008",2008 - 45th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Kings XI Punjab won by 1 run,Shaun Marsh,
751,Chennai Super Kings,Royal Challengers Bangalore,"21st May, 2008",2008 - 46th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 14 runs,Anil Kumble,
752,Delhi Daredevils,Kolkata Knight Riders,"22nd May, 2008",2008 - 47th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",No Toss,Match abandoned,No Award,"Delhi Daredevils 1, Kolkata Knight Riders 1"
753,Kings XI Punjab,Deccan Chargers,"23rd May, 2008",2008 - 48th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,Shaun Marsh,
754,Chennai Super Kings,Rajasthan Royals,"24th May, 2008",2008 - 49th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 10 runs,Albie Morkel,
755,Delhi Daredevils,Mumbai Indians,"24th May, 2008",2008 - 50th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 5 wickets,Dinesh Karthik,
756,Deccan Chargers,Royal Challengers Bangalore,"25th May, 2008",2008 - 51st Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Royal Challengers Bangalore won by 5 wickets,Vinay Kumar,
757,Kolkata Knight Riders,Kings XI Punjab,"25th May, 2008",2008 - 52nd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kolkata Knight Riders won by 3 wickets,Umar Gul,
758,Rajasthan Royals,Mumbai Indians,"26th May, 2008",2008 - 53rd Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 5 wickets,Sohail Tanvir,
759,Deccan Chargers,Chennai Super Kings,"27th May, 2008",2008 - 54th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Chennai Super Kings won by 7 wickets,Suresh Raina,
760,Royal Challengers Bangalore,Mumbai Indians,"28th May, 2008",2008 - 55th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 9 wickets,Dilhara Fernando,
761,Kings XI Punjab,Rajasthan Royals,"28th May, 2008",2008 - 56th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Kings XI Punjab won by 41 runs,Shaun Marsh,
762,Delhi Daredevils,Rajasthan Royals,"30th May, 2008",2008 - 1st Semi Final,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Rajasthan Royals won by 105 runs,Shane Watson,
763,Kings XI Punjab,Chennai Super Kings,"31st May, 2008",2008 - 2nd Semi Final,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Chennai Super Kings won by 9 wickets,Makhaya Ntini,
764,Chennai Super Kings,Rajasthan Royals,"1st June, 2008",2008 - Final,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 3 wickets,Yusuf Pathan,
765,Chennai Super Kings,Mumbai Indians,"18th April, 2009",2009 - 1st Match,"Newlands, Cape Town","20 Overs, Day Match",Chennai Super Kings won the toss and elected to field,Mumbai Indians won by 19 runs,Sachin Tendulkar,
766,Royal Challengers Bangalore,Rajasthan Royals,"18th April, 2009",2009 - 2nd Match,"Newlands, Cape Town","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 75 runs,Rahul Dravid,
767,Delhi Daredevils,Kings XI Punjab,"19th April, 2009",2009 - 3rd Match,"Newlands, Cape Town","20 Overs, Day Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 10 wickets [D/L Method],Daniel Vettori,"Delhi Daredevils 2, Kings XI Punjab 0"
768,Deccan Chargers,Kolkata Knight Riders,"19th April, 2009",2009 - 4th Match,"Newlands, Cape Town","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Deccan Chargers won by 8 wickets,R P Singh,
769,Royal Challengers Bangalore,Chennai Super Kings,"20th April, 2009",2009 - 5th Match,"St George's Park, Port Elizabeth","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 92 runs,Muttiah Muralitharan,
770,Kings XI Punjab,Kolkata Knight Riders,"21st April, 2009",2009 - 6th Match,"Kingsmead, Durban","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 11 runs [D/L Method],Chris Gayle,"Kolkata Knight Riders 2, Kings XI Punjab 0"
771,Mumbai Indians,Rajasthan Royals,"21st April, 2009",2009 - 7th Match,"Kingsmead, Durban","20 Overs, Day/Night Match",No Toss,Match abandoned,No Award,
772,Royal Challengers Bangalore,Deccan Chargers,"22nd April, 2009",2009 - 8th Match,"Newlands, Cape Town","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 24 runs,Adam Gilchrist,
773,Chennai Super Kings,Delhi Daredevils,"23rd April, 2009",2009 - 9th Match,"Kingsmead, Durban","20 Overs, Day Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 9 runs,AB de Villiers,
774,Kolkata Knight Riders,Rajasthan Royals,"23rd April, 2009",2009 - 10th Match,"Newlands, Cape Town","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Rajasthan Royals won in super over after scores were tied,Yusuf Pathan,
775,Royal Challengers Bangalore,Kings XI Punjab,"24th April, 2009",2009 - 11th Match,"Kingsmead, Durban","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Kings XI Punjab won by 7 wickets,Ravi Bopara,
776,Deccan Chargers,Mumbai Indians,"25th April, 2009",2009 - 12th Match,"Kingsmead, Durban","20 Overs, Day Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 12 runs,Pragyan Ojha,
777,Chennai Super Kings,Kolkata Knight Riders,"25th April, 2009",2009 - 13th Match,"Newlands, Cape Town","20 Overs, Day/Night Match",No Toss,Match abandoned,No Award,
778,Royal Challengers Bangalore,Delhi Daredevils,"26th April, 2009",2009 - 14th Match,"St George's Park, Port Elizabeth","20 Overs, Day Match",Royal Challengers Bangalore won the toss and elected to bat,Delhi Daredevils won by 6 wickets,Tillakaratne Dilshan,
779,Kings XI Punjab,Rajasthan Royals,"26th April, 2009",2009 - 15th Match,"Newlands, Cape Town","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kings XI Punjab won by 27 runs,Kumar Sangakkara,
780,Chennai Super Kings,Deccan Chargers,"27th April, 2009",2009 - 16th Match,"Kingsmead, Durban","20 Overs, Day Match",Deccan Chargers won the toss and elected to field,Deccan Chargers won by 6 wickets,Herschelle Gibbs,
781,Kolkata Knight Riders,Mumbai Indians,"27th April, 2009",2009 - 17th Match,"St George's Park, Port Elizabeth","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 92 runs,Sachin Tendulkar,
782,Delhi Daredevils,Rajasthan Royals,"28th April, 2009",2009 - 18th Match,"SuperSport Park, Centurion","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Rajasthan Royals won by 5 wickets,Yusuf Pathan,
783,Royal Challengers Bangalore,Kolkata Knight Riders,"29th April, 2009",2009 - 19th Match,"Kingsmead, Durban","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to bat,Royal Challengers Bangalore won by 5 wickets,Mark Boucher,
784,Kings XI Punjab,Mumbai Indians,"29th April, 2009",2009 - 20th Match,"Kingsmead, Durban","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kings XI Punjab won by 3 runs,Kumar Sangakkara,
785,Deccan Chargers,Delhi Daredevils,"30th April, 2009",2009 - 21st Match,"SuperSport Park, Centurion","20 Overs, Day Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 6 wickets,Dirk Nannes,
786,Chennai Super Kings,Rajasthan Royals,"30th April, 2009",2009 - 22nd Match,"Buffalo Park, East London","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Chennai Super Kings won by 38 runs,Suresh Raina,"Chennai Super Kings 2, Rajasthan Royals 0"
787,Kolkata Knight Riders,Mumbai Indians,"1st May, 2009",2009 - 23rd Match,"Buffalo Park, East London","20 Overs, Day Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 9 runs,Jean-Paul Duminy,
788,Royal Challengers Bangalore,Kings XI Punjab,"1st May, 2009",2009 - 24th Match,"Kingsmead, Durban","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 8 runs,Yuvraj Singh,
789,Deccan Chargers,Rajasthan Royals,"2nd May, 2009",2009 - 25th Match,"St George's Park, Port Elizabeth","20 Overs, Day Match",Deccan Chargers won the toss and elected to bat,Rajasthan Royals won by 3 wickets,Yusuf Pathan,
790,Chennai Super Kings,Delhi Daredevils,"2nd May, 2009",2009 - 26th Match,"Wanderers Stadium, Johannesburg","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Chennai Super Kings won by 18 runs,Shadab Jakati,
791,Kings XI Punjab,Kolkata Knight Riders,"3rd May, 2009",2009 - 27th Match,"St George's Park, Port Elizabeth","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to bat,Kings XI Punjab won by 6 wickets,Mahela Jayawardene,
792,Royal Challengers Bangalore,Mumbai Indians,"3rd May, 2009",2009 - 28th Match,"Wanderers Stadium, Johannesburg","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Royal Challengers Bangalore won by 9 wickets,Jacques Kallis,
793,Chennai Super Kings,Deccan Chargers,"4th May, 2009",2009 - 29th Match,"Buffalo Park, East London","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 78 runs,M S Dhoni,
794,Kings XI Punjab,Rajasthan Royals,"5th May, 2009",2009 - 30th Match,"Kingsmead, Durban","20 Overs, Day Match",Kings XI Punjab won the toss and elected to field,Rajasthan Royals won by 78 runs,Graeme Smith,
795,Delhi Daredevils,Kolkata Knight Riders,"5th May, 2009",2009 - 31st Match,"Kingsmead, Durban","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Delhi Daredevils won by 9 wickets,Gautam Gambhir,
796,Deccan Chargers,Mumbai Indians,"6th May, 2009",2009 - 32nd Match,"SuperSport Park, Centurion","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 19 runs,Rohit Sharma,
797,Royal Challengers Bangalore,Rajasthan Royals,"7th May, 2009",2009 - 33rd Match,"SuperSport Park, Centurion","20 Overs, Day Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 7 wickets,Amit Singh,
798,Chennai Super Kings,Kings XI Punjab,"7th May, 2009",2009 - 34th Match,"SuperSport Park, Centurion","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 12 runs [D/L Method],Matthew Hayden,"Chennai Super Kings 2, Kings XI Punjab 0"
799,Delhi Daredevils,Mumbai Indians,"8th May, 2009",2009 - 35th Match,"Buffalo Park, East London","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Delhi Daredevils won by 7 wickets,Ashish Nehra,
800,Deccan Chargers,Kings XI Punjab,"9th May, 2009",2009 - 36th Match,"Diamond Oval, Kimberley","20 Overs, Day Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 3 wickets,Mahela Jayawardene,
801,Chennai Super Kings,Rajasthan Royals,"9th May, 2009",2009 - 37th Match,"Diamond Oval, Kimberley","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Chennai Super Kings won by 7 wickets,Subramaniam Badrinath,
802,Royal Challengers Bangalore,Mumbai Indians,"10th May, 2009",2009 - 38th Match,"St George's Park, Port Elizabeth","20 Overs, Day Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 16 runs,Jean-Paul Duminy,
803,Delhi Daredevils,Kolkata Knight Riders,"10th May, 2009",2009 - 39th Match,"Wanderers Stadium, Johannesburg","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 7 wickets,Amit Mishra,
804,Deccan Chargers,Rajasthan Royals,"11th May, 2009",2009 - 40th Match,"Diamond Oval, Kimberley","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 53 runs,Dwayne Smith,
805,Royal Challengers Bangalore,Kolkata Knight Riders,"12th May, 2009",2009 - 41st Match,"SuperSport Park, Centurion","20 Overs, Day Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 6 wickets,Ross Taylor,
806,Kings XI Punjab,Mumbai Indians,"12th May, 2009",2009 - 42nd Match,"SuperSport Park, Centurion","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Mumbai Indians won by 8 wickets,Harbhajan Singh,
807,Deccan Chargers,Delhi Daredevils,"13th May, 2009",2009 - 43rd Match,"Kingsmead, Durban","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Delhi Daredevils won by 12 runs,Rajat Bhatia,
808,Royal Challengers Bangalore,Chennai Super Kings,"14th May, 2009",2009 - 44th Match,"Kingsmead, Durban","20 Overs, Day Match",Chennai Super Kings won the toss and elected to bat,Royal Challengers Bangalore won by 2 wickets,Ross Taylor,
809,Mumbai Indians,Rajasthan Royals,"14th May, 2009",2009 - 45th Match,"Kingsmead, Durban","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 2 runs,Shane Warne,
810,Delhi Daredevils,Kings XI Punjab,"15th May, 2009",2009 - 46th Match,"Mangaung Oval, Bloemfontein","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,Brett Lee,
811,Chennai Super Kings,Mumbai Indians,"16th May, 2009",2009 - 47th Match,"St George's Park, Port Elizabeth","20 Overs, Day Match",Mumbai Indians won the toss and elected to bat,Chennai Super Kings won by 7 wickets,Matthew Hayden,
812,Deccan Chargers,Kolkata Knight Riders,"16th May, 2009",2009 - 48th Match,"Wanderers Stadium, Johannesburg","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Deccan Chargers won by 6 wickets,Rohit Sharma,
813,Deccan Chargers,Kings XI Punjab,"17th May, 2009",2009 - 49th Match,"Wanderers Stadium, Johannesburg","20 Overs, Day Match",Deccan Chargers won the toss and elected to field,Kings XI Punjab won by 1 run,Yuvraj Singh,
814,Delhi Daredevils,Rajasthan Royals,"17th May, 2009",2009 - 50th Match,"Mangaung Oval, Bloemfontein","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 14 runs,AB de Villiers,
815,Chennai Super Kings,Kolkata Knight Riders,"18th May, 2009",2009 - 51st Match,"SuperSport Park, Centurion","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Kolkata Knight Riders won by 7 wickets,Bradley Hodge,
816,Royal Challengers Bangalore,Delhi Daredevils,"19th May, 2009",2009 - 52nd Match,"Wanderers Stadium, Johannesburg","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Royal Challengers Bangalore won by 7 wickets,Jacques Kallis,
817,Kolkata Knight Riders,Rajasthan Royals,"20th May, 2009",2009 - 53rd Match,"Kingsmead, Durban","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 4 wickets,Laxmi Shukla,
818,Chennai Super Kings,Kings XI Punjab,"20th May, 2009",2009 - 54th Match,"Kingsmead, Durban","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 24 runs,Muttiah Muralitharan,
819,Delhi Daredevils,Mumbai Indians,"21st May, 2009",2009 - 55th Match,"SuperSport Park, Centurion","20 Overs, Day Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 4 wickets,Virender Sehwag,
820,Royal Challengers Bangalore,Deccan Chargers,"21st May, 2009",2009 - 56th Match,"SuperSport Park, Centurion","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 12 runs,Manish Pandey,
821,Delhi Daredevils,Deccan Chargers,"22nd May, 2009",2009 - 1st Semi Final,"SuperSport Park, Centurion","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Deccan Chargers won by 6 wickets,Adam Gilchrist,
822,Royal Challengers Bangalore,Chennai Super Kings,"23rd May, 2009",2009 - 2nd Semi Final,"Wanderers Stadium, Johannesburg","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 6 wickets,Manish Pandey,
823,Royal Challengers Bangalore,Deccan Chargers,"24th May, 2009",2009 - Final,"Wanderers Stadium, Johannesburg","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Deccan Chargers won by 6 runs,Anil Kumble,
824,Deccan Chargers,Kolkata Knight Riders,"12th March, 2010",2010 - 1st Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Kolkata Knight Riders won by 11 runs,Angelo Mathews,
825,Mumbai Indians,Rajasthan Royals,"13th March, 2010",2010 - 2nd Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 4 runs,Yusuf Pathan,
826,Kings XI Punjab,Delhi Daredevils,"13th March, 2010",2010 - 3rd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 5 wickets,Gautam Gambhir,
827,Kolkata Knight Riders,Royal Challengers Bangalore,"14th March, 2010",2010 - 4th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets,Manoj Tiwary,
828,Chennai Super Kings,Deccan Chargers,"14th March, 2010",2010 - 5th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 31 runs,Chaminda Vaas,
829,Rajasthan Royals,Delhi Daredevils,"15th March, 2010",2010 - 6th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 6 wickets,Virender Sehwag,
830,Royal Challengers Bangalore,Kings XI Punjab,"16th March, 2010",2010 - 7th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Royal Challengers Bangalore won by 8 wickets,Jacques Kallis,
831,Chennai Super Kings,Kolkata Knight Riders,"16th March, 2010",2010 - 8th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 55 runs,M S Dhoni,
832,Delhi Daredevils,Mumbai Indians,"17th March, 2010",2010 - 9th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Mumbai Indians won by 98 runs,Sachin Tendulkar,
833,Royal Challengers Bangalore,Rajasthan Royals,"18th March, 2010",2010 - 10th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 10 wickets,Jacques Kallis,
834,Delhi Daredevils,Chennai Super Kings,"19th March, 2010",2010 - 11th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Chennai Super Kings won by 5 wickets,Matthew Hayden,
835,Deccan Chargers,Kings XI Punjab,"19th March, 2010",2010 - 12th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Deccan Chargers won by 6 runs,Andrew Symonds,
836,Rajasthan Royals,Kolkata Knight Riders,"20th March, 2010",2010 - 13th Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 34 runs,Abhishek Jhunjhunwala,
837,Mumbai Indians,Royal Challengers Bangalore,"20th March, 2010",2010 - 14th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Royal Challengers Bangalore won by 7 wickets,Jacques Kallis,
838,Deccan Chargers,Delhi Daredevils,"21st March, 2010",2010 - 15th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 10 runs,Andrew Symonds,
839,Chennai Super Kings,Kings XI Punjab,"21st March, 2010",2010 - 16th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Kings XI Punjab won in super over after scores were tied,Rusty Theron,
840,Mumbai Indians,Kolkata Knight Riders,"22nd March, 2010",2010 - 17th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Mumbai Indians won by 7 wickets,Sachin Tendulkar,
841,Royal Challengers Bangalore,Chennai Super Kings,"23rd March, 2010",2010 - 18th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Royal Challengers Bangalore won by 36 runs,Robin Uthappa,
